,Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
16316,https://www.immoweb.be/fr/annonce/maison/a-vendre/grammont/9500/8905258,315000,Maison,False,False,False,9500,Grammont,Maison,4.0,Bon,344.0,6.0,Hyper équipée,False,False,False,None,False,None,1190.0,False,None
16317,https://www.immoweb.be/fr/annonce/maison/a-vendre/diest/3290/8890133,316000,Maison,False,False,False,3290,Diest,Maison,3.0,None,155.0,3.0,Hyper équipée,False,False,True,280.0,True,16.0,370.0,False,88.0
16319,https://www.immoweb.be/fr/annonce/maison/a-vendre/aalst-gijzegem/9308/8850554,359000,Maison,False,False,False,9308,Aalst Gijzegem,Maison,4.0,Excellent état,180.0,3.0,None,False,False,False,None,True,None,731.0,False,None
16320,https://www.immoweb.be/fr/annonce/maison/a-vendre/termonde/9200/8855480,360000,Maison,False,False,False,9200,Termonde,Maison,2.0,Excellent état,160.0,3.0,None,False,False,False,None,True,None,378.0,False,None
16321,https://www.immoweb.be/fr/annonce/maison/a-vendre/waterloo/1410/8899949,365000,Maison,False,False,False,1410,Waterloo,Maison,2.0,Excellent état,142.0,2.0,Hyper équipée,False,False,False,None,True,50.0,347.0,False,None
16322,https://www.immoweb.be/fr/annonce/maison/a-vendre/lanaken/3620/8871237,369000,Maison,False,False,False,3620,Lanaken,Maison,4.0,None,240.0,4.0,Équipée,False,False,True,None,False,None,1350.0,False,None
16323,https://www.immoweb.be/fr/annonce/maison/a-vendre/nieuwerkerken/9320/8716481,375000,Maison,False,False,False,9320,Nieuwerkerken,Maison,None,Excellent état,271.0,4.0,Équipée,False,False,True,None,True,6.0,399.0,False,None
16324,https://www.immoweb.be/fr/annonce/maison/a-vendre/schriek/2223/8821703,378000,Maison,False,False,False,2223,Schriek,Maison,4.0,À rafraîchir,210.0,4.0,Semi-équipée,False,False,True,None,False,None,1732.0,False,None
16325,https://www.immoweb.be/fr/annonce/maison/a-vendre/ardooie/8850/8843991,405000,Maison,False,False,False,8850,Ardooie,Maison,4.0,None,None,3.0,None,False,False,False,None,False,None,335.0,False,None
16326,https://www.immoweb.be/fr/annonce/maison/a-vendre/woluwe-saint-pierre/1150/8911529,425000,Maison,False,False,False,1150,WOLUWÉ-SAINT-PIERRE,Maison,2.0,À rénover,120.0,4.0,None,False,False,True,45.0,False,None,None,False,None
16327,https://www.immoweb.be/fr/annonce/maison/a-vendre/haulchin/7120/8904616,425000,Maison,False,False,False,7120,HAULCHIN,Maison,4.0,À restaurer,311.0,3.0,Semi-équipée,False,False,True,2600.0,True,50.0,3836.0,False,None
16328,https://www.immoweb.be/fr/annonce/villa/a-vendre/sint-margriete/9981/8903116,469000,Maison,False,False,False,9981,Sint-Margriete,Villa,4.0,Excellent état,415.0,5.0,Équipée,True,False,True,None,False,None,900.0,False,None
16330,https://www.immoweb.be/fr/annonce/maison/a-vendre/malines/2800/8914558,549000,Maison,False,False,False,2800,Malines,Maison,None,Excellent état,None,3.0,Équipée,False,False,True,178.0,False,None,178.0,False,None
16331,https://www.immoweb.be/fr/annonce/maison/a-vendre/alken/3570/8815338,625000,Maison,False,False,False,3570,Alken,Maison,4.0,Excellent état,300.0,3.0,Hyper équipée,False,False,False,None,True,None,1158.0,False,None
16332,https://www.immoweb.be/fr/annonce/villa/a-vendre/lebbeke-wieze/9280/8912218,625000,Maison,False,False,False,9280,Lebbeke Wieze,Villa,4.0,Bon,290.0,5.0,Équipée,False,False,False,None,True,None,2227.0,False,None
16333,https://www.immoweb.be/fr/annonce/villa/a-vendre/emblem/2520/8916777,655000,Maison,False,False,False,2520,Emblem,Villa,4.0,Excellent état,311.0,5.0,Équipée,False,False,True,None,False,None,950.0,False,None
16334,https://www.immoweb.be/fr/annonce/maison/a-vendre/auderghem/1160/8902861,755000,Maison,False,False,False,1160,Auderghem,Maison,3.0,Excellent état,260.0,4.0,Hyper équipée,False,False,True,200.0,True,15.0,240.0,False,300.0
16335,https://www.immoweb.be/fr/annonce/fermette/a-vendre/sijsele/8340/8870296,895000,Maison,False,False,False,8340,Sijsele,Fermette,4.0,À rafraîchir,None,4.0,None,False,False,False,None,True,None,9450.0,False,None
16336,https://www.immoweb.be/fr/annonce/villa/a-vendre/oostduinkerke/8670/8756618,950000,Maison,False,False,False,8670,Oostduinkerke,Villa,4.0,None,None,5.0,Équipée,False,False,False,None,False,None,1821.0,False,None
16337,https://www.immoweb.be/fr/annonce/maison/a-vendre/knokke-heist/8300/8858285,995000,Maison,False,False,False,8300,Knokke-Heist,Maison,None,None,230.0,4.0,None,False,False,True,None,True,None,176.0,False,None
16338,https://www.immoweb.be/fr/annonce/fermette/a-vendre/bornem/2880/8888459,1190000,Maison,False,False,False,2880,Bornem,Fermette,4.0,Excellent état,314.0,4.0,Hyper équipée,True,False,True,3500.0,False,None,4176.0,True,None
16339,https://www.immoweb.be/fr/annonce/villa/a-vendre/bonheiden/2820/8906719,1225000,Maison,False,False,False,2820,Bonheiden,Villa,4.0,None,460.0,6.0,Équipée,True,False,True,1500.0,True,83.0,2096.0,False,None
