,postal_code,price,number_of_bedroom,house_area,fully_equipped_kitchen,terrace,is_new,locality,district,province,province_int,region,region_int,district_int,ratio_free_build
16310,1080,225000,2,95,1,0,1,Sint-Jans-Molenbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
16311,2000,249500,2,75,1,0,0,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
16312,1932,240000,2,88,0,1,1,Zaventem,Hal-Vilvorde,brabant-flamand,5.0,flandre,0.0,8.0,-2.612727828309232
16313,1080,220000,2,80,1,1,1,Molenbeek-Saint-Jean,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
16314,1080,220000,2,80,1,1,1,Sint-Jans-Molenbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
16315,1300,229000,3,90,1,0,0,Wavre,Nivelles,brabant-wallon,8.0,wallonie,1.0,4.0,-2.9218088410811247
16316,4700,249000,3,130,1,1,1,Eupen,Verviers,liege,4.0,wallonie,1.0,5.0,-1.1133098650482711
16317,1140,250000,2,80,1,1,1,Evere,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-2.9244864705850064
16318,4860,220000,3,128,1,1,1,Pepinster,Verviers,liege,4.0,wallonie,1.0,5.0,-1.912194721580304
16319,2650,210000,2,100,1,1,0,Edegem,Antwerpen,anvers,2.0,flandre,0.0,17.0,-3.214030543869453
16320,5310,230000,3,117,1,1,0,Éghezée,Namur,namur,9.0,wallonie,1.0,1.0,-1.6811554812515723
16321,1300,225000,2,80,1,1,0,Wavre,Nivelles,brabant-wallon,8.0,wallonie,1.0,4.0,-2.9218088410811247
16322,4000,245000,3,110,1,1,1,Liège,Liège,liege,4.0,wallonie,1.0,3.0,-2.830604864273826
16323,8540,245900,2,94,1,1,1,Deerlijk,Courtrai,flandre-occidentale,0.0,flandre,0.0,25.0,-2.791751970940308
16324,1000,235000,2,73,1,1,1,Bruxelles,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-2.5814149362447845
16325,1000,235000,2,73,1,1,1,Brussel,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-2.5814149362447845
16326,8660,250000,1,57,1,1,1,De Panne,Veurne,flandre-occidentale,0.0,flandre,0.0,36.0,-2.0057725474178842
16327,1435,205000,1,70,1,1,1,Mont-Saint-Guibert,Nivelles,brabant-wallon,8.0,wallonie,1.0,4.0,-2.2586349095923075
16328,9050,205000,2,84,1,1,0,Gent,Gent,flandre-orientale,1.0,flandre,0.0,10.0,-2.6573197395842385
16329,1780,208000,2,81,1,1,1,Wemmel,Hal-Vilvorde,brabant-flamand,5.0,flandre,0.0,8.0,-3.1466088191233967
16330,1190,210000,2,78,1,0,0,Forest,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16331,1190,210000,2,78,1,0,0,Vorst,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16332,1470,212500,2,90,1,0,1,Genappe,Nivelles,brabant-wallon,8.0,wallonie,1.0,4.0,-1.8039701322182824
16333,9450,215000,2,94,1,1,1,Haaltert,Aalst,flandre-orientale,1.0,flandre,0.0,13.0,-2.625452333651838
16334,6043,225000,3,165,1,1,1,Charleroi,Charleroi,hainaut,6.0,wallonie,1.0,21.0,-2.8855335437554714
16335,3970,227000,4,167,1,1,1,Leopoldsburg,Hasselt,limbourg,7.0,flandre,0.0,20.0,-2.558681414891556
16336,2600,229000,2,80,1,1,1,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
16337,9800,229000,2,85,1,1,0,Deinze,Gent,flandre-orientale,1.0,flandre,0.0,10.0,-2.3270792081535623
16338,1190,230000,2,75,1,1,1,Forest,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16339,1190,230000,2,75,1,1,1,Vorst,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16340,1500,230000,2,89,1,0,1,Halle,Hal-Vilvorde,brabant-flamand,5.0,flandre,0.0,8.0,-2.4622502007683056
16341,2990,233000,2,83,1,1,1,Wuustwezel,Antwerpen,anvers,2.0,flandre,0.0,17.0,-1.870311353394004
16342,1030,239000,1,56,1,0,1,Schaerbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16343,1030,239000,1,56,1,0,1,Schaarbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16344,1080,239000,4,129,1,1,1,Molenbeek-Saint-Jean,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
16345,1080,239000,4,129,1,1,1,Sint-Jans-Molenbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
16346,9000,239000,1,70,1,0,0,Gent,Gent,flandre-orientale,1.0,flandre,0.0,10.0,-2.6573197395842385
16347,1090,245000,2,100,1,1,1,Jette,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.185926733090803
16348,1090,245000,2,100,1,0,1,Jette,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.185926733090803
16349,1853,245000,2,90,1,1,1,Grimbergen,Hal-Vilvorde,brabant-flamand,5.0,flandre,0.0,8.0,-2.5559733444546424
16350,1080,249000,2,97,1,1,1,Molenbeek-Saint-Jean,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
16351,1080,249000,2,97,1,1,1,Sint-Jans-Molenbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
16352,1140,250000,3,94,1,1,1,Evere,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-2.9244864705850064
16353,2610,249000,2,85,1,1,1,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
16354,1190,240000,2,61,1,0,1,Forest,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16355,1190,240000,2,61,1,0,1,Vorst,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16356,2100,239000,2,84,1,0,0,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
